ts,source,fetch_ok,total_items,total_weight,israel_items,israel_weight,attention_share,mean_sentiment,w_n2,w_n1,w_0,w_p1,w_p2,w_u
2026-09-01T02:01:53Z,cnn,1,46,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T02:01:53Z,foxnews,1,125,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,nbcnews,1,51,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,newsweek,1,78,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,bbc,1,32,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,guardian,1,32,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,thetimes,1,93,55,1,3,0.05455,-1.0,,,,,,
2026-09-01T02:01:53Z,dailymail,1,303,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,dw,1,38,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T02:01:53Z,lemonde,1,235,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,lefigaro,1,185,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,spiegel,1,163,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,bild,1,176,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,elpais,1,117,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,corriere,1,239,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,cbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T02:01:53Z,abcau,1,75,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,nyt,1,33,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,nypost,1,166,55,1,1,0.01818,1.0,,,,,,
2026-09-01T02:45:22Z,cnn,1,46,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T02:45:22Z,foxnews,1,126,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,nbcnews,1,50,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,newsweek,1,78,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,bbc,1,32,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,guardian,1,32,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,thetimes,1,93,55,1,3,0.05455,-1.0,,,,,,
2026-09-01T02:45:22Z,dailymail,1,303,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,dw,1,38,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T02:45:22Z,lemonde,1,36,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,lefigaro,1,185,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,spiegel,1,162,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,bild,1,176,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,elpais,1,115,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,corriere,1,239,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,cbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T02:45:22Z,abcau,1,77,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,nyt,1,33,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,nypost,1,164,55,1,1,0.01818,1.0,,,,,,
2026-09-01T03:45:31Z,cnn,1,45,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T03:45:31Z,foxnews,1,127,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,nbcnews,1,51,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,newsweek,1,78,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,bbc,1,31,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,guardian,1,31,55,0,0,0.0,,,,,,,
